id,Reviews
1,速度很快啊 内存好大 激活也挺方便的 送的office很好用 也好激活 特别漂亮轻薄 超级喜欢 很A4差不多大小和一本书一样 很是方便
2,死垃圾的笔记本，声音贼大，就开了十来个Excel，被同事调侃电脑要起飞了，真的跟机场飞机起飞的声音似的，唉，凑合着用吧...
3,刚买了  两天来不了机  6666
4,随便上**买个本本，没什么对比。直接买个6千块的，鼠标没有就算了，没有配发票，没有本本外包装，也没有包包。服务相当差，**竟然烂到这个地步了。真是超级烂！！！建议大家买前一定要仔细看！！连最起码的配置也没有。
5,运行速度：飞快，不卡顿。。屏幕效果：显示出色，色彩很真实，眼睛很舒服！！！。散热性能：散热行还可以，目前只用于办公，没有玩游戏。有待认证。。外形外观：真的轻便，而且薄。非常适合出差办公啥的。而且颜值高。男女都适合。绝对是男女通杀。。轻薄程度：薄就一个字，我只说一次。而且相当轻。。其他特色：办公很适合，屏幕很清晰，无亮点。运行速度快。指纹感应很快，开机十秒内。开机后马上可以办公。运行CAD很快！！！！值得购买！！！！！
6,我只想吐槽，这***连电脑包都不配，笔记本不配这个，简直了。。。不配鼠标，我就忍了，不配包让我出门抱着走吗？客服的解释我都想吐他一脸。从此放弃**！！！
7,运行速度：运行速度杠杠的，开机3秒，运行很流畅。轻薄程度：真的很薄，携带很方便。屏幕效果：彩效果不错，分辨率也挺高的 。散热性能：目前使用来看散热效果还不错。外形外观：观简约时尚大方
8,超级不好用 用了不到一个月 死机三次 看视频都死机！超级失望 而且电脑发热超级厉害 风扇声音也很大 不知道声音这么大怎么还这么发热
9,机器非常轻巧，单手可持。开机飞快，大概5，6秒。屏幕也足够细腻，湖蓝色非常好看，颜值高。之前在** ENVY13和这台之间纠结，考虑小新便宜近1000块，硬盘还大150G，电池小点，不过也够用，最终定了小新。非常好，值得购买。
10,6月1上船，感觉屏幕很不错屏，显示器：72%NTSC，笔记本显示器有这样的色域非常可以了，显示效果真的非常赞；。。包装外观：外包装和笔记本都挺好看的，笔记本A面logo发光效果很骚；C面键盘灯光单一没**飞行堡垒第七代RGB键盘的好；。。CPU：新一代的i5（第九代i5）性能比第七代i7略强，4核8线程CPU，i5-9300H主频2.4GH，最大睿频4.1GHz，睿频能随便达到4GHz，证明散热性能真的非常不错，三级缓存8M。。内存条：对性能要求较高的宝宝建议上多一条内存条（金士顿笔记本骇客神条DDR4 2666）组成双通道后性能的提高你可以明显感受得到。。GPU：显卡性能比GTX-1050Ti强30%这样，跑分12完多一点，逼近GTX-1060。。硬盘：最后还得夸一下，这次固态直接1T了，还是M.2 NVME类型的，目前民用性能最强的固态。。散热器：这次直接双散热铜管铺盖GPU以及CPU的位置，散热风扇也很给力，玩游戏开野兽模式温度稳稳控制使得GPU和CPU温度得到控制，不会降频总结：这次用料非常可以。。缺点：。1、键盘灯光单调。2、内存条只配备了单条DDR4 2666内存条，现在内
11,运行速度：速度真的很快。外形外观：外观设计很漂亮，也很轻巧，对于我这种常常把电脑带来带去的人简直太方便啦！真的很喜欢这个电脑，蓝色很漂亮，键盘手感也很好?太喜欢啦，买它买它！。轻薄程度：也很轻薄，都很喜欢
12,轻薄程度：对于我一个女生来说，我觉得这款笔记本非常不错。运行速度：行很快，很流畅 。屏幕效果：屏幕非常清晰。外形外观：外观很好看。其他特色：是我的理想型了
