,id,text,pos
0,0,画质清晰，网速很快，吃鸡不卡，真的不错。携带方便。,"[(0, 1, 'A', '硬件&性能'), (2, 3, 'O', '硬件&性能'), (5, 6, 'A', '硬件&性能'), (7, 8, 'O', '硬件&性能'), (10, 11, 'A', '使用场景'), (12, 13, 'O', '使用场景'), (15, 18, 'O', '整体'), (20, 21, 'A', '外观'), (22, 23, 'O', '外观')]"
1,1,物流速度很棒呦，包装也很好,"[(0, 3, 'A', '物流'), (4, 5, 'O', '物流'), (8, 9, 'A', '包装'), (11, 12, 'O', '包装')]"
2,2,电脑挺好看的，就是有点慢，还有点卡，没有想象中那么好，,"[(2, 5, 'O', '外观'), (9, 11, 'O', '硬件&性能'), (14, 16, 'O', '硬件&性能'), (18, 25, 'O', '整体')]"
3,3,反正娃最喜欢吃鸡，玩这游戏不卡，目前已经用了好几天，总体还不错。,"[(9, 12, 'A', '使用场景'), (13, 14, 'O', '使用场景'), (26, 27, 'A', '整体'), (28, 30, 'O', '整体')]"
4,4,宝贝收到了，非常惊喜，外观好看，开机速度快，运行流畅，五星好评,"[(6, 9, 'O', '整体'), (11, 12, 'A', '外观'), (13, 14, 'O', '外观'), (16, 19, 'A', '硬件&性能'), (20, 20, 'O', '硬件&性能'), (22, 23, 'A', '硬件&性能'), (24, 25, 'O', '硬件&性能'), (27, 30, 'O', '整体')]"
5,5,包装特别严实，外观设计有档次。用起来特别流畅，按键灵活。这个价格真心不错,"[(0, 1, 'A', '包装'), (2, 5, 'O', '包装'), (7, 10, 'A', '外观'), (11, 13, 'O', '外观'), (18, 21, 'O', '硬件&性能'), (23, 24, 'A', '硬件&性能'), (25, 26, 'O', '硬件&性能'), (30, 31, 'A', '价格'), (32, 35, 'O', '价格')]"
6,6,放暑假了，买来送孩子的礼物，正好学习也用得上。孩子很喜欢，说反应挺快。,"[(16, 17, 'A', '使用场景'), (19, 21, 'O', '使用场景'), (25, 27, 'O', '整体'), (30, 31, 'A', '硬件&性能'), (32, 33, 'O', '硬件&性能')]"
7,7,非常好 包裹很严实 比我想象中的还要好 用了一段时间来评价的 我太喜欢了,"[(0, 2, 'O', '整体'), (4, 5, 'A', '包装'), (6, 8, 'O', '包装'), (32, 35, 'O', '整体')]"
8,8,笔记本电脑开机快，运行流畅，玩大游戏一点不卡顿，质量很好，非常满意，有需要还会回购的五星。,"[(5, 6, 'A', '硬件&性能'), (7, 7, 'O', '硬件&性能'), (9, 10, 'A', '硬件&性能'), (11, 12, 'O', '硬件&性能'), (14, 17, 'A', '使用场景'), (18, 22, 'O', '使用场景'), (24, 25, 'A', '整体'), (26, 27, 'O', '整体'), (29, 32, 'O', '整体'), (42, 43, 'O', '整体')]"
9,9,系统挺流畅，外观挺好看的，玩的挺爽，很喜欢，满意的！,"[(0, 1, 'A', '软件&性能'), (2, 4, 'O', '软件&性能'), (6, 7, 'A', '外观'), (8, 11, 'O', '外观'), (15, 16, 'O', '使用场景'), (18, 20, 'O', '整体'), (22, 23, 'O', '整体')]"
10,10,拍的15.6寸的超薄笔记本电脑已收到，看外观屏幕很精致，开机后图像细腻声音清晰运行速度快。价格低廉值得购买。,"[(8, 9, 'O', '外观'), (22, 23, 'A', '硬件&性能'), (24, 26, 'O', '硬件&性能'), (31, 32, 'A', '硬件&性能'), (33, 34, 'O', '硬件&性能'), (35, 36, 'A', '硬件&性能'), (37, 38, 'O', '硬件&性能'), (39, 42, 'A', '硬件&性能'), (43, 43, 'O', '硬件&性能'), (45, 46, 'A', '价格'), (47, 48, 'O', '价格')]"
11,11,不错，就是一开始键错位真的吓死我了,"[(0, 1, 'O', '整体')]"
12,12,笔记本电脑收到包装完好，质量非常好，外观材质做工好，显卡速度快。影像清晰。携带方便很实用。,"[(7, 8, 'A', '包装'), (9, 10, 'O', '包装'), (12, 13, 'A', '整体'), (14, 16, 'O', '整体'), (18, 23, 'A', '外观'), (24, 24, 'O', '外观'), (26, 29, 'A', '硬件&性能'), (30, 30, 'O', '硬件&性能'), (32, 33, 'A', '硬件&性能'), (34, 35, 'O', '硬件&性能'), (37, 38, 'A', '外观'), (39, 40, 'O', '外观'), (41, 43, 'O', '外观')]"
13,13,玩游戏流畅，画面清晰。哈哈，满意,"[(0, 2, 'A', '使用场景'), (3, 4, 'O', '使用场景'), (6, 7, 'A', '硬件&性能'), (8, 9, 'O', '硬件&性能'), (14, 15, 'O', '整体')]"
14,14,还算不错的我第一次买电脑，感觉良好速度也不差。,"[(0, 3, 'O', '整体'), (15, 16, 'O', '整体'), (17, 18, 'A', '硬件&性能'), (20, 21, 'O', '硬件&性能')]"
15,15,垃圾**，垃圾，不想说话，你们买吧,"[(0, 1, 'O', '整体'), (5, 6, 'O', '整体')]"
16,16,很好很不错,"[(0, 1, 'O', '整体'), (2, 4, 'O', '整体')]"
17,17,电脑用起来很不错，儿子很喜欢,"[(5, 7, 'O', '整体'), (11, 13, 'O', '整体')]"
18,18,电脑性价比挺高的，用着很顺畅，包装很严密,"[(2, 4, 'A', '价格'), (5, 7, 'O', '价格'), (11, 13, 'O', '硬件&性能'), (15, 16, 'A', '包装'), (17, 19, 'O', '包装')]"
19,19,电脑挺新的，开机也快,"[(6, 7, 'A', '硬件&性能'), (8, 9, 'O', '硬件&性能')]"
20,20,很漂亮 手感超级好 但是用不惯  还是旧电脑顺手 感觉有点卡,"[(0, 2, 'O', '外观'), (4, 5, 'A', '外观'), (6, 8, 'O', '外观'), (22, 23, 'O', '整体'), (27, 29, 'O', '硬件&性能')]"
21,21,宝贝收到了，是正品，上手体验以后再来评价的，很喜欢跟店家描述一样,"[(6, 8, 'O', '真伪'), (22, 24, 'O', '整体')]"
22,22,我买的这个黑色的显得非常尊贵，我非常喜欢，性能非常棒，弟弟说打游戏非常流畅 果断好评,"[(10, 13, 'O', '外观'), (16, 19, 'O', '整体'), (21, 22, 'A', '硬件&性能'), (23, 25, 'O', '硬件&性能'), (30, 32, 'A', '使用场景'), (33, 36, 'O', '使用场景'), (40, 41, 'O', '整体')]"
23,23,入手千万要谨慎，轻薄本是真的卡，配置什么的，仅供参考?,"[(12, 14, 'O', '硬件&性能'), (16, 17, 'A', '硬件&性能')]"
24,24,就这样吧！,[]
25,25,朋友介绍过来买的，价格合适，玩游戏不卡机，外观大气！,"[(9, 10, 'A', '价格'), (11, 12, 'O', '价格'), (14, 16, 'A', '使用场景'), (17, 19, 'O', '使用场景'), (21, 22, 'A', '外观'), (23, 24, 'O', '外观')]"
26,26,画面清晰，操作流畅，满意😁,"[(0, 1, 'A', '硬件&性能'), (2, 3, 'O', '硬件&性能'), (5, 6, 'A', '使用场景'), (7, 8, 'O', '使用场景'), (10, 11, 'O', '整体')]"
27,27,外观还凑合，配置真的是太低，根本没法用,"[(0, 1, 'A', '外观'), (2, 4, 'O', '外观'), (6, 7, 'A', '硬件&性能'), (8, 12, 'O', '硬件&性能')]"
28,28,电脑上网玩游戏一点也不卡，挺快的，外观好看 大小携带方便。价格也非常实惠。,"[(2, 3, 'A', '使用场景'), (4, 6, 'A', '使用场景'), (7, 11, 'O', '使用场景'), (13, 15, 'O', '硬件&性能'), (17, 18, 'A', '外观'), (19, 20, 'O', '外观'), (22, 23, 'A', '外观'), (24, 25, 'A', '外观'), (26, 27, 'O', '外观'), (29, 30, 'A', '价格'), (32, 35, 'O', '价格')]"
29,29,性能挺好的，价格实惠，外观很新，性价比高,"[(0, 1, 'A', '硬件&性能'), (2, 4, 'O', '硬件&性能'), (6, 7, 'A', '价格'), (8, 9, 'O', '价格'), (11, 12, 'A', '外观'), (13, 14, 'O', '外观'), (16, 18, 'A', '价格'), (19, 19, 'O', '价格')]"
30,30,电脑性能：电脑的运行速度很快，一点都不卡 显卡效果：游戏画面很清晰 外观材质：是我喜欢的样式，做工精细 ,"[(8, 11, 'A', '硬件&性能'), (12, 13, 'O', '硬件&性能'), (15, 19, 'O', '硬件&性能'), (26, 29, 'A', '硬件&性能'), (30, 32, 'O', '硬件&性能'), (34, 37, 'A', '外观'), (41, 42, 'O', '外观'), (44, 45, 'A', '外观'), (47, 48, 'A', '外观'), (49, 50, 'O', '外观')]"
31,31,比想象中的要厚，太沉了。,"[(6, 6, 'O', '外观'), (8, 10, 'O', '外观')]"
32,32,买了一台裸机，质量感觉不怎么样，屏幕有亮点.；真后悔.,"[(7, 8, 'A', '整体'), (11, 14, 'O', '整体'), (16, 17, 'A', '硬件&性能'), (18, 20, 'O', '硬件&性能')]"
33,33,看了很多家电脑觉得这个电脑性价比高，外观很难看，又经脏，运行速度很快，,"[(13, 15, 'A', '价格'), (16, 16, 'O', '价格'), (18, 19, 'A', '外观'), (20, 22, 'O', '外观'), (25, 26, 'O', '外观'), (28, 31, 'A', '硬件&性能'), (32, 33, 'O', '硬件&性能')]"
34,34,买了不到10天就降价，不满意！！！！,"[(8, 9, 'O', '价格'), (11, 13, 'O', '整体')]"
35,35,6月30日买的，7月1号到货，7月4号发票收到，7月10号发现该产品降价511元，申请退差价，客服说以7月1日为准，不给退,"[(34, 35, 'O', '价格')]"
36,36,99g内存，下载最普通的flsh插件需要花钱，就一个c盘。机子有杂音，笔记本键盘下面的按咔咔响,"[(31, 33, 'O', '硬件&性能')]"
37,37,外观材质：摸起来很舒服，而且好看！ 电脑性能：还算流畅哦，可以的,"[(0, 3, 'A', '外观'), (8, 10, 'O', '外观'), (14, 15, 'O', '外观'), (20, 21, 'A', '硬件&性能'), (23, 26, 'O', '硬件&性能'), (29, 30, 'O', '整体')]"
38,38,挺流畅不错,"[(0, 2, 'O', '硬件&性能'), (3, 4, 'O', '整体')]"
39,39,电脑已经收到了哦，外观还挺新的！运行速度快，价格也很实惠,"[(9, 10, 'A', '外观'), (12, 14, 'O', '外观'), (16, 19, 'A', '硬件&性能'), (20, 20, 'O', '硬件&性能'), (22, 23, 'A', '价格'), (25, 27, 'O', '价格')]"
40,40,风扇声太大了，就开了几个word，失望,"[(0, 2, 'A', '硬件&性能'), (3, 4, 'O', '硬件&性能'), (17, 18, 'O', '整体')]"
41,41,不错，很好,"[(0, 1, 'O', '整体'), (3, 4, 'O', '整体')]"
42,42,已收到！看起来还不错，没让我失望，五星好评！,"[(7, 9, 'O', '整体'), (17, 20, 'O', '整体')]"
